deenpx,expend
iiknpp,pipkin
abklsy,skylab
ceenps,spence
aginpv,paving
imqrsu,squirm
acimsu,amicus
acimst,"mastic,misact"
egluzz,guzzle
bgmsuu,subgum
aeejvy,jayvee
eimrsx,mixers
cceeor,coerce
eimrst,"merits,mister,miters,mitres,remits,smiter,timers"
cehiqu,quiche
eimrss,"misers,remiss"
fhorst,froths
eglnou,"longue,lounge"
abdnou,abound
ddenno,donned
eglnor,longer
eeklnn,kennel
hlmpuy,phylum
aabess,abases
denrst,trends
denrsu,"nursed,sunder"
acenps,pecans
acenpr,prance
eeklny,keenly
adegkw,gawked
aaknor,anorak
elmmos,moslem
defhoo,hoofed
dglsuy,sludgy
ceinst,"incest,insect,nicest"
celltu,cullet
eeklns,kneels
eeklnr,kernel
emsssu,musses
aeorsu,arouse
aacehp,apache
fgiotz,zoftig
aehlss,"hassle,lashes,shales"
eeffil,eiffel
aehlsw,"whales,wheals"
aehlsv,halves
adesst,steads
aehlst,"halest,lathes"
adeprw,warped
aehlsz,hazels
aeekns,akenes
acestx,exacts
aeeknw,weaken
egnnoo,nonego
acdeep,peaced
bdlloy,boldly
abimru,barium
ffoptu,putoff
hnorst,"norths,thorns"
hnorsu,onrush
cegnor,conger
deegll,gelled
deegln,legend
deopsu,"pseudo,souped"
deopst,"depots,despot,posted"
aainop,anopia
cdekno,"conked,nocked"
aainox,anoxia
clmnou,column
aenpss,aspens
adlmtu,talmud
aenpst,patens
deeglu,deluge
abelor,boreal
aiorsv,savior
dgotuu,dugout
deeglp,pledge
deegls,"ledges,sledge"
abelot,"boatel,oblate"
ellmow,mellow
dgiinr,riding
cehkst,sketch
aorsuu,aurous
dgiinv,diving
ddefnu,funded
dehlos,dholes
eegnsv,venges
ceikry,rickey
erstxy,xyster
acelrt,"cartel,claret,rectal"
bgorsu,bourgs
acelrv,claver
adkosv,vodkas
acelrs,"clears,lacers,scaler,sclera"
acelrr,carrel
iinppp,pippin
chmoos,smooch
ddefno,fonded
dgiinn,"dining,indign"
eilnsy,"linsey,lysine"
fnooru,unroof
acdiim,amidic
abelsz,blazes
abelsy,"basely,belays"
deiint,indite
degnow,gowned
eghirs,sigher
abelsu,"suable,usable"
abelst,"ablest,bleats,stable,tables"
aimnvy,mayvin
gilrsy,grisly
ccdeot,decoct
adnorw,onward
aginpy,paying
alossv,salvos
ackors,croaks
aginpt,taping
aginpw,pawing
aginry,"grainy,raying"
ackory,croaky
ailmtu,ultima
aginpr,"paring,raping"
aefppr,frappe
eilnru,lunier
eilnrs,liners
aaegrt,gratae
aaegrv,ravage
achllo,cholla
ehlpsw,whelps
deenot,denote
acipty,atypic
demorw,"deworm,wormed"
deenop,opened
deenos,donees
eegmrs,merges
eioptt,tiptoe
ekmstu,musket
eiopss,"poises,posies"
bdeeis,beside
eelmsy,seemly
agghsy,shaggy
egioor,gooier
aadkot,dakota
ceelrs,creels
ailpst,"plaits,spital"
ceelrt,tercel
ceelrw,crewel
ceelrv,clever
agilnp,paling
agilns,"algins,aligns,lasing,lingas,signal"
aeglsy,sagely
agilnu,lingua
defnnu,funned
agilnw,"lawing,waling"
agilnv,laving
agilny,"gainly,laying"
bdepru,burped
cceior,cicero
degikn,kinged
bdeeil,"belied,edible"
deeflt,felted
deeflu,fueled
aelmtu,amulet
aeprru,uprear
aeprrs,"parers,parser,rapers,rasper,sparer"
deefls,selfed
aehikn,hankie
ahirrs,"harris,sirrah"
deeflx,flexed
deefly,fleyed
errsuy,surrey
deeefr,"feeder,reefed"
aerrss,rasers
ehikmv,mikveh
chilry,richly
achpty,patchy
deefll,felled
adelwy,yawled
giinst,siting
egppry,gypper
eirstw,"wriest,writes"
eirstv,"rivets,stiver,strive"
eeimst,semite
eirstt,"sitter,titers,triste"
cdeost,costed
ddeegl,gelded
aabbks,babkas
ceeegr,greece
eehlpr,helper
ceepuy,eyecup
hmopsw,whomps
eknptu,unkept
eelsty,"sleety,steely"
afhirs,sharif
abcels,cables
aerrsv,ravers
abcelm,becalm
aehmss,"mashes,shames"
aceopw,cowpea
amnoor,"maroon,romano"
ehnrtu,hunter
aimmsx,maxims
ddeegw,wedged
cemmsu,mecums
aeeprt,repeat
ddeegr,dredge
cekoor,"cooker,recook"
aapsst,pastas
deimrt,mitred
dddeee,deeded
aaaitx,ataxia
deimrs,"dermis,dimers"
iksuuz,suzuki
efnost,soften
acekty,tackey
aabdes,abased
enooss,nooses
dennou,undone
aabder,abrade
aadnps,pandas
effors,offers
beilsz,bezils
dorssw,swords
effort,effort
ikmnoo,kimono
eerstw,wester
eerstv,everts
dorssy,drossy
eerstt,"retest,setter,street,tester"
adenwy,yawned
ekmoss,smokes
aellrt,taller
noosty,"snooty,toyons"
abmnow,bowman
bblowy,"blowby,wobbly"
eejjnu,jejune
abeort,"boater,borate"
abeorz,bezoar
aeegrr,regear
aeegrs,"agrees,eagers,grease"
acdett,catted
aeegrv,greave
aeglls,legals
dgmsuy,smudgy
adddew,wadded
adddep,padded
dimopu,podium
aalrvv,valvar
agloot,galoot
hmoruu,humour
ehlorw,howler
adddeg,gadded
hmpsuw,whumps
dddeew,wedded
adddel,addled
aabmnr,barman
addden,addend
adddeo,dadoed
bboooo,booboo
adlmou,modula
aabmnt,"bantam,batman"
befory,foreby
eilpsx,pixels
aeegnt,negate
behlmu,humble
aeegnv,"avenge,geneva"
aimnsz,nazism
eilpsv,pelvis
aeegnr,"enrage,genera"
acklos,cloaks
aakpps,kappas
deknru,dunker
adfiry,friday
iorstu,suitor
acdhrs,chards
eehors,heroes
anppsy,snappy
bcceos,bocces
gnotuu,outgun
dhltuu,duluth
adfirt,adrift
abdejm,jambed
giilnp,piling
eiinrv,vinier
adehkn,hanked
hinost,shinto
abbirs,rabbis
abbirt,rabbit
deilps,"dispel,lisped"
deilpp,lipped
eensss,senses
acimos,mosaic
adehkw,hawked
aaclox,coaxal
acimot,atomic
deemry,remedy
ooprtu,uproot
adekos,soaked
ikllss,skills
certuv,curvet
eenssv,sevens
bghmuu,humbug
fiotxy,toxify
deemru,demure
afgisy,gasify
adekoy,"kayoed,okayed"
diilqu,liquid
eefmms,femmes
hnrtuu,unhurt
aabinz,banzai
abbejr,jabber
gnorst,strong
gnorsw,wrongs
aaeknw,awaken
afggly,flaggy
ciirss,crisis
bdegru,"bedrug,budger,redbug"
cekkop,kopeck
blmosy,symbol
begrru,burger
adlnpu,upland
ginnoz,zoning
acmops,campos
aagjru,jaguar
adlrwy,drawly
kknssu,skunks
aadrrs,radars
bginox,boxing
efilzz,fizzle
oopwww,powwow
aahssy,sashay
degoru,"drogue,gourde,rogued,rouged"
bginos,bingos
bginor,"boring,orbing,robing"
aeprsw,pawers
beirtt,bitter
beirtu,beirut
elpssu,"pluses,pulses"
chlosu,slouch
irttux,tutrix
bginoo,booing
degirr,girder
aceehn,achene
ailowy,oilway
aceehk,hackee
ddelmu,muddle
eegils,lieges
dehint,hinted
aegrss,"gasser,sarges"
aegrst,"grates,greats,stager"
aegrsu,"argues,augers"
aegrsv,graves
aegrsw,wagers
acelov,"alcove,coeval"
aegrsy,greasy
aegrsz,"gazers,grazes"
adillp,pallid
acelor,"coaler,oracle"
acelos,solace
hilops,"philos,polish"
cikosy,yoicks
allsst,stalls
aefflr,raffle
dehino,honied
aeoprs,"operas,soaper"
dempru,dumper
dekost,stoked
bnorwy,browny
dennsu,sunned
acdino,anodic
aeefrt,"afreet,feater"
emorss,mosser
eelors,resole
aeefrr,fearer
cdeoop,cooped
ceehkl,heckle
cilrsy,lyrics
cekost,socket
bdesuu,subdue
floors,floors
giklny,kingly
eenrtu,"neuter,tenure,tureen"
eeeept,teepee
eeeepv,veepee
eeeepw,peewee
dsstuy,studys
deeehr,heeder
ceeorv,corvee
hnstuu,unshut
bdfior,forbid
ahilrw,awhirl
ennpsu,unpens
biilns,blinis
aehims,mashie
eirsvw,wivers
dehilw,whiled
aefoss,fossae
eflouw,woeful
bghrsu,burghs
abcssu,scubas
deeehl,heeled
eorsvw,vowers
acenst,"ascent,enacts,secant,stance"
aceorx,coaxer
ddeeem,deemed
aceors,coarse
aehmmr,hammer
ddeeen,needed
ddeeeh,heeded
ceoosy,cooeys
bchiop,phobic
aelopx,poleax
airsst,"sitars,stairs"
airssu,russia
ddeees,seeded
ddeeer,reeded
aelops,aslope
aelopr,parole
amnsuy,yamuns
beggru,bugger
agprss,grasps
cilsuy,sluicy
aclnuv,vulcan
bnotuy,bounty
aadnrs,sandra
gmnnoo,gnomon
ehlstt,shtetl
ehlstu,"hustle,sleuth"
cdeess,cessed
ehlsty,ethyls
eegins,"genies,seeing,signee"
efiprx,prefix
cddeis,disced
aacder,arcade
eersvv,verves
deinpp,nipped
deinps,"sniped,spined"
aenopw,weapon
bbgino,gibbon
aenops,paeons
eeginn,engine
cefhis,"chiefs,fiches"
achkss,shacks
dekstu,tusked
eeefrz,freeze
eeeprw,weeper
acderz,crazed
aacdef,facade
ikqruy,quirky
deefnr,fender
acderv,"carved,craved"
behlsu,bushel
acders,"cadres,cedars,sacred,scared"
acderr,carder
anorrw,narrow
ginptu,pignut
aeersv,"averse,reaves"
clmsuy,"clumsy,muscly"
ciinop,pionic
hmnost,"months,months"
ciinor,ironic
ciinos,ionics
achilp,caliph
delmos,"models,models,seldom"
cikqsu,quicks
elruwz,wurzel
anrsuu,uranus
delmor,"molder,remold"
ehlnop,phenol
adlopu,upload
iippst,pipits
dehitw,"whited,withed"
efggor,fogger
agortu,ragout
aghoqu,quahog
cemntu,centum
aalwyy,waylay
bnrstu,brunts
acckls,clacks
aginss,assign
delmoy,melody
eggiip,piggie
cikprs,pricks
deesux,exudes
ahlrsy,rashly
aanost,sonata
effgor,goffer
ahissv,shivas
aabhkt,bhakta
cikpry,pricky
ellpss,spells
ikknss,skinks
hmnopy,nympho
eeestv,"steeve,vestee"
acksst,stacks
aachtt,attach
acgowy,cogway
aaegmn,manage
bflsyy,flybys
aciopr,picaro
eillmr,miller
aciopt,atopic
eeestt,"settee,testee"
aacrru,curara
elrstu,"luster,lustre,result,rustle,sutler,ulster"
eillmu,illume
npssuu,sunups
alnsst,slants
celrtu,cutler
aeegmt,gamete
einost,tonies
elmsuy,muleys
eenorw,erenow
aeegmr,meager
agmorv,vagrom
efsuzz,fuzzes
eenorz,rezone
agmors,orgasm
lppsuy,supply
knpsuy,spunky
bhimor,rhombi
acehsw,cashew
acehst,"chaste,cheats,sachet,scathe"
aeegmn,"manege,menage"
acehss,"cashes,chases"
ahlssw,shawls
eelnvy,evenly
bdeell,belled
eilppt,tipple
eensuv,venues
nprssu,spurns
eeggrs,eggers
deenrv,"denver,nerved,vender"
deenrt,"rented,tender"
deenru,endure
deenrr,render
deenrs,"denser,enders,sender"
aaerwx,earwax
achlor,choral
eimprs,"primes,simper"
cmoosw,moscow
ceiosv,voices
efgors,"forges,gofers"
eimpru,"impure,umpire"
eimprt,permit
bdeelt,belted
cmprsu,crumps
cdeims,medics
giknpu,puking
bdeels,bleeds
acehor,"chorea,horace"
oprstu,"sprout,stupor"
dgiikn,diking
ilmrty,trimly
beorsx,boxers
cceors,soccer
eorrry,orrery
beorsu,bourse
cmooss,cosmos
cdegor,codger
belruy,burley
eorrrs,errors
eiknsv,knives
dginos,"doings,dosing"
egglru,"gurgle,lugger"
aimprt,"armpit,impart"
aimprs,primas
gillrs,grills
dehllu,hulled
cehktv,kvetch
bbejor,jobber
bdelot,bolted
bdelou,double
mmuuuu,muumuu
bdelow,bowled
abdlry,drably
bdelor,bolder
ailnyz,zanily
eeiklp,kelpie
ahlpss,splash
abehos,obeahs
blmooy,bloomy
ikkoss,kiosks
kklssu,skulks
adempv,vamped
blmoos,blooms
bdeloo,boodle
llorst,"stroll,trolls"
alruvv,vulvar
ekosst,stokes
bdgino,boding
aciinp,pianic
adeglz,glazed
adegly,agedly
ablsty,"blasty,stably"
adnopr,pardon
gorstu,grouts
adegls,glades
adeglr,"argled,gerald,glared"
adnopt,dopant
deiipt,pitied
adeglo,"gaoled,goaled"
adegln,"angled,dangle"
horstt,troths
adegll,galled
eillmo,mollie
fgnsuu,fungus
ceinpr,"pincer,prince"
iimmns,minims
aciinn,niacin
ccimos,"comics,cosmic"
horsty,shorty
eprtty,pretty
eehkls,shekel
iilrwy,wirily
aiklmu,kalium
aehhrt,hearth
acellr,"caller,cellar,recall"
eeehlr,"heeler,reheel"
eprttu,putter
acllss,scalls
aequyz,queazy
abcnsu,cubans
dhlosu,should
acello,locale
denpss,spends
fghotu,fought
cottuu,cutout
dekops,spoked
aabhmr,brahma
eefllo,felloe
eilrtt,"litter,tilter"
aeopss,paseos
adeppr,"dapper,rapped"
beirry,briery
ginotw,towing
bchoty,botchy
adeppy,yapped
adeppz,zapped
ccdeis,sicced
acdiot,dacoit
chinop,"chopin,phonic"
chinos,chinos
ahorry,horary
cekort,rocket
chinot,chiton
ceehor,"cohere,echoer,reecho"
aloqtu,loquat
eprrsy,"pryers,spryer"
ahorrw,harrow
eefllr,feller
bdestu,"busted,debuts"
aessst,"assets,stases,tasses"
aegprs,"gapers,gasper,grapes,pagers,sparge"
fipsux,fixups
dllory,"drolly,lordly"
aessss,"assess,sasses"
cefint,infect
demopp,mopped
demops,mopeds
demopr,romped
aesssy,essays
dllors,drolls
achlnu,launch
dioosv,ovoids
issttw,twists
dioosu,odious
bdeekr,kerbed
cnotuy,county
clossw,scowls
aadkms,damask
moorst,motors
cceiil,icicle
oprsst,"sports,strops"
acehly,leachy
dgiiln,idling
acehlv,cheval
acehlt,chalet
acehls,chelas
abilvy,viably
ioprry,priory
acehlp,chapel
afilps,pilafs
aimpss,passim
aorsst,"assort,roasts"
ahinoo,ohioan
aorssv,savors
accost,"accost,coacts"
ddeflu,fuddle
cchrtu,crutch
acdees,ceased
chpstu,putsch
adeemt,teamed
bceehy,beechy
acestu,"acutes,cuesta"
aoqrtu,quarto
ddeloy,yodled
bddegu,budged
ceiikr,ickier
blmruy,rumbly
aejrzz,jazzer
bbrsuu,suburb
bdemot,tombed
cenovy,convey
accruy,curacy
bcderu,curbed
dehnop,phoned
allost,"allots,atolls"
aginsw,sawing
eglltu,gullet
eilotu,outlie
cddruy,cruddy
eesttx,sextet
acdesy,decays
acdest,"cadets,casted"
acdesu,"caused,sauced"
aeprss,"aspers,parses,passer,repass,spares,sparse,spears"
gnrstu,"grunts,strung"
aeprsu,pauser
aeprst,"paster,paters,prates,repast,tapers"
bikrss,brisks
aeghnr,"hanger,rehang"
adeirv,varied
elmnot,"melton,molten"
deimpp,pimped
cgioot,cogito
efhoor,hoofer
cprsuy,"cyprus,sprucy"
eghlmp,phlegm
ginorv,roving
dghiny,dinghy
ccenos,sconce
deiltw,wilted
degosy,dogeys
bginno,boning
degost,stodge
aeiptt,pattie
abbhsy,shabby
deflmu,flumed
bcnotu,cobnut
moprst,tromps
deeirt,"dieter,reedit,retied,tiered"
aaegln,galena
eosstx,sextos
aaeglm,agleam
aagirt,gratia
acddtu,adduct
ddeirr,ridder
aeggsu,gauges
ehlotw,howlet
eosstv,stoves
aberss,"sabers,sabres"
eeeiln,lienee
eeeilr,eelier
dddemu,mudded
aacrst,carats
ghosst,ghosts
ghiort,righto
acelqu,claque
aaeglv,lavage
aaeglr,"aglare,laager"
ginntu,tuning
aeeglr,regale
aeegls,eagles
aeeglp,pelage
beknor,broken
aeeglt,"eaglet,legate"
aeeglu,league
eelrtt,letter
eeklsv,kevels
aakprs,parkas
eelrtw,welter
eeetwz,tweeze
aefnst,fasten
cchors,scorch
acehpy,peachy
afknrs,franks
arsstw,straws
ejlosu,joules
cdeiks,sicked
acehps,cheaps
ginops,posing
arssty,"satyrs,strays"
ilorsy,rosily
deillp,pilled
aeegll,allege
adeenr,"earned,endear,neared"
acklsu,caulks
ccisty,cystic
adklny,dankly
acnory,crayon
josstu,jousts
bbdesu,"subbed,subdeb"
aabimz,zambia
lnopsy,pylons
cdeikp,picked
eilsst,"islets,sliest,stiles"
aeghiw,aweigh
eennuv,uneven
ghimst,mights
aeeirr,aerier
aeeirs,"aeries,easier"
bdehlo,behold
ajlopy,jalopy
diilos,solidi
aabill,labial
deggjo,jogged
beefll,befell
aceitv,active
hloruy,hourly
beefly,feebly
aabilx,biaxal
eimmrr,rimmer
eeqrsu,queers
aipstw,pitsaw
aelmnr,almner
hrsttu,"thrust,truths"
iprstw,twirps
eimnty,enmity
aeknss,"skeans,snakes,sneaks"
aadgnu,uganda
deffpu,puffed
eehmrs,"hermes,rehems"
iprstu,purist
abiors,isobar
abiorr,barrio
eimntu,"minuet,minute"
eimntt,mitten
elosuv,ovules
ablswy,bylaws
crsuvy,scurvy
bdgiin,biding
eijlrt,jilter
prrsuy,spurry
ggmosy,smoggy
aennss,sennas
eiltvy,levity
adnosu,soudan
degpru,purged
aacenp,canape
eilnty,lenity
aacenr,arcane
ceinqu,"cinque,quince"
eilntt,litten
aennsz,sanzen
aoprru,uproar
gilnsu,sluing
aacinr,"arnica,carina,crania"
ceklrs,clerks
elmtuu,"luteum,mutuel"
eeoruv,oeuvre
opsstu,"spouts,stoups,tossup"
eimssu,misuse
eimsst,smites
aeeklr,leaker
ahirsv,ravish
deilms,"misled,slimed,smiled"
anrstu,saturn
aabelz,ablaze
emmnot,moment
aadrtu,datura
eegiss,"egises,sieges"
aabelr,arable
aabelt,ablate
bdempu,bumped
boorst,robots
einntv,invent
ceegno,congee
einntt,intent
aortvy,votary
cdeklu,lucked
ffimnu,muffin
einnty,ninety
abelmm,embalm
drstuy,sturdy
giinpw,wiping
abelms,"ambles,blames"
abelmr,"ambler,blamer,lamber,marble,ramble"
belopu,pueblo
aegnno,nonage
ddilnr,dirndl
aallny,anally
adgimy,digamy
ehjoss,joshes
ccehsz,czechs
ghinst,"nights,things"
aiinrs,raisin
ekoort,retook
aborsv,bravos
ceikpt,picket
aborst,"aborts,tabors"
anorsv,sovran
fnorsw,frowns
fnorst,fronts
fjlouy,joyful
clmpsu,clumps
afhmot,fathom
efrrsu,surfer
eenrrt,renter
deemnr,"mender,remend"
emoort,mooter
noossw,swoons
noosst,snoots
mnottu,mutton
aelnpt,"planet,platen"
hilosw,"lowish,owlish"
adehhs,hashed
bflosu,sobful
eellry,yeller
ejknru,junker
eelsst,"sleets,steels"
aaenop,apnoea
eellrs,"resell,seller"
eellrt,"retell,teller"
cdellu,culled
adllor,dollar
aeggrw,wagger
deosux,exodus
allqsu,squall
bemrsu,umbers
aelmsy,measly
deefis,defies
deefir,defier
aelmst,"lamest,metals,samlet"
aelmsu,samuel
agiotu,agouti
morsty,stormy
opttuu,"output,putout"
achmnu,manchu
eorsww,wowser
deirst,"direst,driest,stride"
deirsw,weirds
deefil,defile
abeeor,aerobe
degggi,gigged
ailmny,mainly
ceirtu,uretic
aehrss,"rashes,shares,shears"
aehrst,"earths,haters,hearts"
aehrsw,"hawser,rewash,washer"
aehrsv,"havers,shaver"
aehrsy,hayers
efhlsy,fleshy
denpsu,upends
aehrsz,hazers
ailmnu,"alumin,alumni,lumina"
eorssu,"rouses,serous"
eorssv,"servos,versos"
eorssw,"resows,sowers,worses"
aabblo,balboa
ahlmny,hymnal
afhios,oafish
eeensz,sneeze
ipptuy,uppity
ccehks,checks
eegmnr,germen
aoostt,tatoos
aejmst,jetsam
eelnxy,xylene
fiptyy,typify
alopst,postal
cerrtu,curter
ceirvx,cervix
efhist,fetish
bfinow,bowfin
eeippy,yippee
efhiss,fishes
eegmno,genome
aegirt,"gaiter,triage"
ghisst,sights
deoppp,popped
dorrty,dryrot
deopps,sopped
gilnss,slings
adejmm,jammed
adeovw,avowed
ehnost,honest
ehnoss,noshes
einnsv,venins
einnsu,ennuis
einnst,tennis
abinss,basins
gilmry,grimly
aenpps,nappes
adhiks,kadish
aefsst,"feasts,safest"
ehnosy,honeys
cehlps,schlep
acilnu,uncial
oopsst,stoops
acilnv,calvin
acilns,linacs
ffiost,soffit
ehkrsu,husker
ademtt,matted
ddeiio,iodide
aegirs,sagier
ehhnpy,hyphen
hiqssu,squish
aeills,allies
aeillm,mallei
jlstuy,justly
dnooss,snoods
ddeiiv,divide
eorttt,totter
ddeiis,didies
begoos,goboes
egiltw,wiglet
aberrv,braver
acilno,"alnico,oilcan"
ceikls,sickle
detttu,tutted
inopty,pointy
eosssu,souses
eossst,tosses
eemsss,messes
aahllo,halloa
bbilos,bilbos
akkops,kapoks
abdeos,"abodes,adobes"
aeqrsu,square
abdeot,boated
achkls,chalks
aaaclp,alpaca
beknru,bunker
aefnnt,enfant
deeimp,impede
aeegky,keyage
acegil,gaelic
ademnt,tandem
aefnnr,fanner
abciss,"basics,basics"
aiimms,misaim
cdekoo,cooked
eorrsy,rosery
airrty,rarity
aemnnv,vanmen
aeknrr,ranker
aklsst,stalks
emrstu,"estrum,muster"
ceimsu,"cesium,miscue"
deoprs,"dopers,pedros,prosed,spored"
ilpstu,tulips
eknops,spoken
acefft,affect
acelpu,culpae
beggii,biggie
acelps,places
acelpr,"carpel,parcel,placer"
cdektu,tucked
acfrst,crafts
ginooz,oozing
iprsuy,sirupy
hmpruy,murphy
abgsty,gatsby
adeitx,taxied
ddelru,ruddle
eggrtu,tugger
gmoors,grooms
deiosx,"doxies,oxides"
adeptu,update
adfrsw,dwarfs
aenprz,panzer
denosw,"endows,snowed"
eilnpp,nipple
cellru,culler
eilnpu,"lineup,lupine,unpile"
aalnpr,planar
elmrty,"myrtle,termly"
aflppy,flappy
cdekos,socked
afmnot,fantom
eirrsw,wirers
inorss,rosins
ceilrt,relict
deimmr,"dimmer,rimmed"
ilsttu,lutist
aeglns,"angels,angles,gleans"
eeflst,fleets
akloss,skoals
abilrz,brazil
birstu,bruits
ginosy,yogins
abilrs,"brails,brasil,libras"
abilrt,tribal
abilru,burial
abelnu,"nebula,unable"
belnyz,benzyl
aaipzz,piazza
cciirt,"citric,critic"
ccnoru,concur
cciirs,crisic
belrru,burler
amnoss,masons
abcdir,bardic
bdeegg,begged
adeitv,dative
ilmnsu,muslin
ablsst,blasts
aelpps,"appels,apples"
abeiit,tibiae
ceefns,fences
ceefnr,fencer
afnssu,snafus
aefsty,safety
