aajnp,japan
ceosv,"coves,voces"
ceosy,cosey
ceosz,cozes
eimnr,miner
eimns,"miens,mines"
gppuy,guppy
ipsty,tipsy
adelp,"paled,pedal,plead"
iikst,tikis
npstu,punts
begrs,bergs
mosst,mosts
adltu,adult
acely,lacey
eiknr,inker
eikns,"kines,skein"
cmpru,crump
aalrz,lazar
aalry,alary
gnotu,ungot
gorst,grots
bgluy,bulgy
hissw,swish
aalrv,larva
aalru,"aural,laura"
aalrt,altar
lrwyy,wryly
ahisv,shiva
amorr,armor
efiks,kiefs
amort,amort
amoru,amour
fistw,swift
opprs,props
empst,temps
ijlst,jilts
cfhin,finch
ahist,saith
eeqru,queer
bgmou,gumbo
bciku,buick
ffijs,jiffs
mmuyy,yummy
eikry,kyrie
aabbs,babas
cssty,cysts
eikrt,kiter
assty,"sayst,stays"
flrsu,furls
bmnou,bonum
efnor,freon
hnoop,phono
cemmo,comme
adips,sapid
ejlpu,julep
bnoos,"bonos,boons,boson"
bnoor,boron
bgoos,gobos
beios,boise
elosx,loxes
abnry,"barny,bryan"
eflos,floes
ellqu,quell
aabbk,babka
ggors,grogs
eejlw,jewel
addho,hodad
himrt,mirth
lppuy,pulpy
adqsu,"quads,squad"
adgrs,"drags,grads"
deowy,yowed
beirs,"biers,bries"
beirr,brier
beirt,"biter,tiber,tribe"
adgru,guard
beirv,brevi
kmoss,mosks
dknsu,dunks
bbsuy,busby
eklnt,knelt
kmosy,smoky
aadrw,award
noptu,puton
abden,baned
ammty,tammy
aajrs,rajas
alory,royal
adisu,saudi
ioptv,pivot
bdrsu,drubs
alors,"orals,solar"
alorv,valor
adlry,lardy
bimoz,zombi
abltu,tubal
glouv,vulgo
censt,"cents,scent"
ginwy,wingy
knouy,yukon
abdrs,"bards,brads,drabs"
aijou,ouija
knpuy,punky
bllsu,bulls
hiirs,"irish,rishi"
illly,lilly
cceos,cosec
eflls,fells
bbboy,bobby
aqrtu,quart
belmu,umbel
eflly,felly
aegrw,wager
cckos,cocks
cckor,crock
acnor,"acorn,narco"
eikls,likes
aenqu,quean
cckoy,cocky
eiknp,pekin
ademz,mazed
orsuy,yours
aekps,"peaks,spake,speak"
enort,"noter,notre,tenor,toner"
achit,aitch
ademr,"armed,derma,dream,madre"
adems,"dames,meads"
aeill,ileal
achir,chair
achis,chias
aeilr,ariel
aeils,aisle
lstuy,lusty
ekpsu,pukes
aeilv,alive
bhort,"broth,throb"
osstu,ousts
accst,accts
abdsu,"bauds,daubs"
fllsu,fulls
abdsw,bawds
bdelu,blued
ceflt,cleft
ciksw,wicks
aalmo,alamo
ipstu,situp
ghsuv,vughs
abder,"bared,beard,bread,debar"
hioru,houri
lossy,lossy
giinv,givin
aglsu,gauls
aalmr,alarm
aalms,lamas
giinr,iring
amost,"atoms,moats"
amosx,moxas
emprs,"perms,sperm"
aflmy,flamy
hmpuy,humpy
aalmy,malay
begiw,bewig
iqrtu,quirt
begir,giber
begis,gibes
eiksy,skiey
gisst,gists
aclov,vocal
koops,spook
eikst,"kites,tikes"
cghlu,gulch
elpry,"plyer,reply"
beosu,bouse
begiy,beigy
kltuz,klutz
biknr,brink
nprsu,spurn
ggosy,soggy
begin,"begin,being,binge"
begio,bogie
begil,bilge
enorz,zoner
oprsw,prows
oprsu,pours
oprst,"ports,sport,strop"
abhit,habit
abhis,sahib
aeips,sepia
hipss,ships
ghoru,rough
hipst,"piths,shipt"
hipsw,whips
ijlls,jills
alnst,slant
abdeg,badge
chmpu,chump
bchot,botch
aimty,amity
abhim,bimah
eknos,kenos
lsuuz,zulus
inppy,nippy
bcnor,bronc
bcloo,cobol
enswy,newsy
eirtv,rivet
bcnou,bunco
acouv,vacuo
enovy,envoy
abkss,basks
ahsty,hasty
giort,griot
gioru,guiro
giorr,rigor
giors,giros
eiltt,title
eloos,"loose,oleos"
ahstt,thats
bclos,blocs
ilsty,"silty,styli"
aiort,ratio
aeghp,phage
enoxx,exxon
aeltx,"exalt,latex"
llsuu,lulus
gimpy,"gimpy,pigmy"
floss,floss
llsuy,sully
errtu,truer
flosw,"flows,fowls,wolfs"
gimps,gimps
flosu,fouls
flost,lofts
abest,"abets,baste,bates,beast,beats,betas"
abesu,"abuse,beaus"
aeglm,gleam
moprt,tromp
abess,bases
bblos,blobs
acees,cease
ikpsy,spiky
bikrs,brisk
abesy,abyes
ennox,xenon
eirtt,"titer,titre,trite"
ampsw,swamp
depsu,"dupes,pseud,spued"
aaqrt,qatar
hoosw,"whoso,woosh"
acgir,"agric,cigar"
ehssw,shews
adeis,"aides,aside,ideas"
aehtu,haute
eeghs,ghees
aehtw,wheat
acstu,scuta
bmpsu,bumps
ekmos,smoke
acgin,acing
abjms,jambs
oosuz,ouzos
bbnoy,nobby
ahppy,happy
eenpr,preen
enstt,tents
ffoty,toffy
ddeel,deled
acstt,tacts
eelop,elope
elrty,tyler
goops,goops
aacfi,facia
eimox,moxie
fklos,folks
eipps,"pepsi,pipes"
eippr,piper
ceopu,coupe
almqu,qualm
eimor,moire
aanrs,saran
ceopr,coper
ceops,"copes,copse,scope"
dfior,fiord
npsuu,sunup
llsyy,slyly
agqsu,quags
aprry,parry
chkos,"hocks,shock"
aanrt,antra
deefs,feeds
deefr,"defer,freed,refed"
hmost,moths
besuz,zebus
ginst,"sting,tings"
deeft,feted
ensuw,unsew
elopu,loupe
almoy,loamy
cdetu,educt
cemry,mercy
eopxy,epoxy
amnos,"manos,mason,moans"
aeglv,gavel
adeht,"death,hated"
dortu,tudor
dderu,udder
adeim,"aimed,amide,media"
egirt,tiger
aioss,"oasis,ossia"
egirv,giver
aoqtu,quota
eflty,lefty
aeglt,aglet
gmpyy,pygmy
aelpr,"paler,pearl"
aacps,aspca
cccio,cocci
aegmn,mange
akmos,amoks
aacpt,pacta
aelpt,"leapt,petal,plate,pleat"
ceitv,"civet,evict"
ceitw,twice
ceitu,cutie
ffflu,fluff
dilos,"idols,lidos,solid"
grsuu,gurus
inpsy,spiny
grsuy,"gyrus,surgy"
diloy,doily
arrty,tarry
agotv,gavot
cehrt,"chert,retch"
aelnr,"learn,renal"
hmotu,mouth
impps,pimps
cghsu,chugs
adgmo,dogma
hmopw,whomp
eosuy,youse
glstu,gluts
hhmpu,humph
dejko,joked
hiswy,wishy
eehsx,hexes
fglos,"flogs,golfs"
egouv,vogue
eehst,"sheet,these"
bknsu,bunks
ikrss,risks
ikrst,skirt
deeor,erode
addiv,david
aclsy,"clays,scaly"
aclss,class
hirsw,whirs
aclsw,claws
aclst,talcs
aclsu,"cauls,claus"
orrsy,sorry
einru,"inure,urine"
ehllo,hello
ginvy,vying
afhls,flash
kknsu,skunk
eknot,token
efinn,enfin
knotu,knout
abdek,baked
aosvw,avows
nttuy,nutty
first,"first,rifts"
bbiry,ribby
irsst,stirs
doopr,droop
lorsu,lours
aghno,hogan
ajtux,juxta
erstw,"strew,trews,wrest"
aghns,"gnash,hangs,sangh"
dlryy,dryly
chior,"choir,ichor"
elntu,"lunet,unlet"
bdeit,"bidet,debit"
drssu,surds
ersty,"treys,tyres"
dehlo,"dhole,holed"
orstu,"roust,routs,torus,tours"
aglno,"along,anglo,logan"
eefsu,fusee
eefss,fesse
ahoow,wahoo
beegi,beige
aoprt,aport
ehins,shine
ehinr,rhine
aekln,ankle
ehint,thine
dgnuy,dungy
cklos,locks
aeklr,laker
aekls,"kales,lakes,leaks,slake"
aagjn,ganja
eortv,"overt,trove,voter"
esstx,sexts
dghit,dight
esstz,zests
esstt,"stets,tests"
esstu,suets
beegt,beget
aekly,leaky
beegr,grebe
cilry,lyric
aglns,"glans,slang"
aglnr,gnarl
aampt,tampa
acelv,"calve,clave"
acimn,manic
kmrsu,murks
allxy,laxly
hirst,shirt
ahssy,shays
ghist,sight
aefir,"afire,faire"
ghisw,whigs
eemrt,"meter,metre,remet"
eeegs,geese
benny,benny
deity,deity
eeegl,gelee
lrssu,slurs
ccilo,colic
mnors,"morns,norms"
ikrsy,risky
delms,melds
agrss,grass
hinny,hinny
ablrw,brawl
adhio,idaho
cffsu,"cuffs,scuff"
acelp,place
akoss,soaks
adhij,"hadji,jihad"
lsstu,"lusts,sluts"
orsty,"story,troys,tyros"
degsy,sedgy
akosy,"kayos,okays"
abkln,blank
bemor,ombre
loswy,yowls
abkls,balks
abklu,baulk
abkly,balky
adhip,aphid
adhis,hasid
iippt,pipit
affty,taffy
dellw,dwell
innoo,onion
deijv,jived
dells,dells
chmop,chomp
ahsst,stash
aimqu,maqui
chmos,schmo
delly,delly
gimos,gismo
gopru,group
aegrs,"agers,gears,rages,sager,sarge"
dhimu,humid
ceehp,cheep
chmoo,mooch
degju,judge
gimoz,gizmo
gimoy,goyim
bdnou,bound
iloss,"silos,soils"
aefns,fanes
gopry,porgy
aelnv,"navel,venal"
gnssu,snugs
eepst,steep
ckstu,"stuck,tucks"
aelnu,ulnae
ehrtz,hertz
ckost,stock
ejkop,kopje
errty,"retry,terry"
ggoos,gogos
abcln,blanc
adiss,saids
dgiit,digit
aadls,salad
dnouw,wound
dmrsu,drums
fkluy,fluky
ceehk,cheek
ffimy,miffy
aekst,"keats,skate,stake,steak,takes,teaks"
degvy,gyved
aeevw,weave
eemss,seems
bffou,buffo
fgitu,fugit
aceln,"clean,lance"
efkrs,kerfs
attty,tatty
cnosu,"conus,uncos"
ahory,hoary
ciimm,mimic
kmnos,monks
dfnsu,funds
bdesu,bused
bdest,debts
alnsw,lawns
lotyz,zloty
ceorv,cover
ceorw,cower
ceort,recto
ensuv,"nevus,venus"
ceorr,corer
ceors,"cores,corse,score"
anqtu,quant
bceeh,beech
aintw,twain
fgrsu,frugs
ceory,coyer
emopr,"moper,proem"
aknsu,ankus
adlsu,"duals,lauds"
aknsw,swank
ceeip,piece
ddnoy,noddy
dsstu,"dusts,studs"
aknsy,"snaky,yanks"
eikms,mikes
einns,nines
cemos,comes
ghosu,sough
acmmo,comma
iillv,villi
ceert,"crete,erect,terce"
fgors,frogs
bffoo,boffo
iorrs,orris
foors,roofs
fgoor,forgo
ceers,"ceres,crees,scree"
egipr,gripe
bdemo,demob
bdfii,bifid
ensux,"nexus,unsex"
hosst,"hosts,shots"
hossw,shows
msstu,"musts,smuts"
fosty,softy
anowy,noway
aersv,"avers,raves,saver,versa"
aelno,"alone,anole"
aerst,"aster,rates,stare,tares,tears"
aeesv,eaves
aerss,"arses,rases,sears"
aeess,eases
efinr,"finer,infer"
cehlw,welch
dmors,dorms
cknsu,snuck
aefgn,ganef
cdors,"cords,scrod"
dmory,dormy
cdorw,crowd
iijnn,jinni
iprsy,spiry
ehsww,whews
iklsy,silky
aalpy,playa
beorx,boxer
beorw,bower
aejps,japes
aabde,baaed
ceein,niece
beors,"boers,bores,robes,sober"
aalpp,"appal,papal"
iklst,kilts
beltu,bluet
aglov,volga
dilsw,wilds
aimms,"imams,maims,miasm"
deiln,lined
clops,clops
eggly,leggy
aegss,"gases,sages"
dffsu,duffs
dmnuu,nudum
eikps,"kepis,pikes,spike"
aegsu,"agues,usage"
ccehk,check
cetuy,cutey
innno,ninon
aacll,calla
prssu,spurs
adirt,triad
ckooy,cooky
iilmu,ilium
lossu,souls
ccehz,czech
aimss,amiss
ckoos,cooks
ckoor,crook
aejms,james
adiry,"dairy,diary"
bepsu,pubes
bgguy,buggy
aenwx,waxen
eettu,tutee
costt,scott
costu,scout
eehns,sheen
iprsu,sirup
loprw,prowl
ehnru,nehru
iprst,"sprit,strip,trips"
hrsuy,rushy
ailss,"sails,sisal"
ailst,tails
ailsv,"silva,vials"
ailsw,"swail,wails"
ailsx,axils
addfy,faddy
inotx,toxin
aenwy,wayne
eflsu,"flues,fuels,fusel"
eflst,"felts,lefts"
eflsw,flews
bdloo,blood
ahlsw,shawl
aarrs,arras
ahlst,"halts,laths,shalt"
alopt,plato
ahlsy,shaly
aarry,array
inpuz,unzip
alops,opals
alopr,polar
aemsu,amuse
aemst,"mates,meats,steam,tames,teams"
boosy,boyos
aknst,"stank,tanks"
aemss,"masse,mesas,seams"
ahkst,khats
eorsw,"resow,serow,sower,swore,worse"
aemsy,seamy
aemsx,exams
cdrsu,"cruds,curds"
aemsz,mazes
aelst,"least,setal,slate,stale,steal,taels,tales,teals,tesla"
flops,flops
aelsv,"laves,salve,slave,vales,valse,veals"
aelsw,"swale,wales,weals"
cimos,osmic
cimor,micro
aelss,"lases,sales,seals"
instw,twins
aahll,allah
aahlo,aloha
instt,"stint,tints"
aelsx,"axels,axles"
aelru,ureal
aelsz,"lazes,zeals"
eeoxy,oxeye
ffijy,jiffy
aahlv,halva
gkoos,gooks
aahlp,alpha
dnopu,pound
ceenp,pence
ceeoo,cooee
biimn,nimbi
ceens,"cense,scene"
ckrtu,truck
gkooy,gooky
aadrr,radar
achov,havoc
aacjl,jacal
aistx,taxis
deikl,liked
cglos,clogs
acipr,carpi
acips,"aspic,picas,spica"
eoqtu,"quote,toque"
aflms,flams
diprs,drips
chlnu,lunch
aefst,"fates,feast,feats,fetas"
diprt,dript
afflo,offal
rsstu,"rusts,truss"
footy,footy
choos,cohos
choop,pooch
abcrt,bract
cderu,"crude,cured"
aadmn,adman
ahims,amish
hssuy,hussy
eiltu,"lieut,utile"
bersu,"burse,rebus,rubes"
ccklu,cluck
fgnoo,gonof
aluuv,uvula
ccklo,clock
beruy,buyer
berux,exurb
mopps,pomps
bersw,brews
benrt,brent
bffiy,biffy
adekw,waked
aenov,novae
inssu,sinus
eesvx,vexes
bffis,biffs
cnnos,conns
adors,"dorsa,roads,sarod"
adorr,ardor
aiost,"iotas,ostia"
adehs,"ashed,deash,hades,heads,shade"
adehr,"hared,heard"
aegmo,omega
lllsu,lulls
aehny,hyena
eorrw,rower
agins,gains
adehz,hazed
adehy,"hayed,heady"
adehx,hexad
aegmy,gamey
chlsu,schul
clmtu,mulct
aabrs,"arabs,sabra"
deirr,"direr,drier,rider"
aegms,"games,mages"
aegmr,"gamer,marge"
adehj,jehad
cffos,"coffs,scoff"
aabrz,bazar
delmu,muled
degil,"gelid,glide"
degim,midge
degin,deign
degio,"dogie,geoid"
bdnos,bonds
iksst,skits
chmnu,munch
ahuzz,huzza
achpr,parch
cekos,cokes
chsuy,cushy
delmo,model
dhinu,hindu
degir,"dirge,ridge"
ckors,"corks,rocks"
elovw,vowel
degiu,guide
dhins,hinds
ddego,dodge
cemor,comer
cemot,"comet,comte"
deoww,wowed
bhoot,booth
bhoos,hobos
aejpr,japer
adegw,waged
eorsy,"oyers,yores"
eorsz,zeros
adelv,laved
ceooy,cooey
aacmw,macaw
gotuy,gouty
aklry,larky
efssu,fuses
eorst,"rotes,store,tores"
cdenu,dunce
eorsv,"overs,roves,servo,verso"
ceoor,cooer
aegnt,agent
gnooy,goony
aegnv,"ganev,vegan"
aelrt,"alert,alter,later,taler"
aelrs,"earls,lares,laser,rales,reals,seral"
aegnr,"anger,range"
aistv,vista
aistw,"waist,waits"
gnoos,goons
aelry,"early,layer,leary,relay"
aelrx,"laxer,relax"
ahiry,hairy
acekr,creak
ahort,torah
ffiks,skiff
biiln,blini
ahirs,hairs
aegno,"agone,genoa"
ahirt,arith
hinpu,unhip
ainry,rainy
dfirt,drift
afnrz,franz
aackl,alack
histw,"whist,whits"
eqstu,quest
oppsy,soppy
cglnu,clung
aadms,adams
alott,total
eemns,semen
aeptu,taupe
eequu,queue
akmrs,marks
eorrv,rover
deegr,"edger,greed"
efffo,feoff
aentx,texan
aegsv,vegas
ceesx,execs
abikt,batik
ehmru,rheum
aenry,yearn
deegg,egged
deegh,hedge
deegk,kedge
deegl,ledge
dehoo,oohed
deego,geode
aerry,yarer
aeepy,payee
hkmou,hokum
aaagm,agama
dlloy,dolly
ceikr,icker
aerrs,"raser,rears"
aeeps,pease
aeept,etape
dllos,dolls
aerrw,rawer
aerrv,raver
hkoos,"hooks,shook"
dilno,indol
acptu,caput
aahms,amahs
hkooy,hooky
akprs,"parks,spark"
aghoy,hoagy
agsty,stagy
aadou,aouad
benos,"bones,ebons"
benor,"boner,borne"
bcciu,cubic
aopss,soaps
benoy,"boney,ebony"
clmpu,clump
benoz,bonze
ccimo,comic
aacep,apace
ackss,"casks,sacks"
hinor,rhino
acksw,wacks
acksy,yacks
eekps,"keeps,peeks,pekes"
emozz,mezzo
bccio,bocci
abmsy,abysm
alsuv,ulvas
efmsu,fumes
ahnst,hants
cklpu,pluck
ekssw,skews
aaguv,guava
alnsu,"lunas,ulnas"
ahnsw,shawn
anrst,"rants,tarns"
ennpy,penny
lprsu,"purls,slurp"
lopsy,"ploys,polys"
lopsw,plows
beist,bites
aceir,"ceria,erica"
ilopu,poilu
adgsu,gauds
ailrs,"arils,lairs,liars,liras,rails,rials"
dknru,drunk
aajsv,javas
iktty,kitty
eilpx,pixel
ailrt,"trail,trial"
ahooy,yahoo
ailry,riyal
dffos,doffs
ceiru,"curie,ureic"
ablwy,bylaw
aahrs,sarah
eflps,pelfs
aglos,"gaols,goals"
adkko,kodak
alost,altos
aersw,"resaw,sawer,swear,wares,wears"
alosv,"ovals,salvo"
alosw,awols
afnny,fanny
aempr,remap
esttx,texts
aipzz,pizza
abduy,dauby
ginty,tying
ckmuy,mucky
ceemr,creme
nossw,snows
gilry,girly
aamms,mamas
eeirt,retie
adetx,taxed
oorty,rooty
akors,okras
llowy,lowly
aghpr,graph
gilrs,girls
aeors,arose
aeort,"oater,orate"
foprs,profs
chimp,chimp
flnow,flown
enosy,nosey
loptu,"pluto,poult"
defns,fends
aguyz,gauzy
frruy,furry
acdet,"acted,cadet"
hiltt,tilth
acdev,caved
acdew,cawed
acdep,"caped,paced"
aaghs,aghas
acder,"acred,arced,cadre,cared,cedar,raced"
acdes,"cades,cased,daces"
hopss,"shops,sophs"
flloy,folly
beeil,belie
acdey,decay
eoprv,prove
foosw,woofs
bhlsu,blush
acdef,faced
acdeg,"cadge,caged"
noosz,zoons
hoott,tooth
cehty,techy
enoss,"noses,sones"
aaghn,ghana
acdem,maced
acden,"acned,caned,dance"
acdeh,ached
acdek,caked
ahils,hails
ahilp,phial
ghino,ohing
diirv,virid
aemrz,mazer
hsstu,shuts
ghiny,hying
eiqru,quire
ddiru,druid
ghins,nighs
benst,bents
eoprw,power
ittty,titty
aenzz,zazen
deguy,guyed
aeinz,azine
ahotz,azoth
optuy,pouty
achks,"hacks,shack"
chopu,pouch
adeoz,adoze
aeins,anise
aeinp,paine
ailqu,quail
aeinv,naive
eqtuu,tuque
eeepw,pewee
aeinn,"annie,inane"
sttuu,tutus
abbko,kabob
eegnt,genet
chnpu,punch
drstu,"durst,turds"
hlorw,whorl
aalsy,asyla
aabci,abaci
nrtuy,runty
aabcl,cabal
giilv,vigil
aabcc,bacca
deorz,dozer
aalst,atlas
giils,sigil
aalsv,lavas
acfkl,flack
dilny,lindy
orsvw,vrows
iklrs,skirl
alssu,sauls
asvvy,savvy
delos,"doles,lodes,soled"
iosux,sioux
accot,coact
cceil,cecil
ggims,miggs
afils,fails
accos,cocas
afilr,"filar,flair,frail"
forty,forty
dmruu,durum
acklp,plack
ipstz,spitz
adiqs,qaids
acmos,comas
acmor,"carom,macro"
acmop,campo
accoo,cocoa
delov,loved
cceir,circe
eehmr,rehem
dekop,poked
aerrr,rarer
intuw,unwit
aekmr,maker
ikmps,skimp
cdhtu,dutch
ddgoy,dodgy
dllor,droll
intuy,unity
answy,yawns
aerrt,"rater,terra"
dgopy,podgy
ailov,"viola,voila"
llops,polls
aghss,shags
fosst,softs
eenrs,sneer
einwz,wizen
eenru,enure
eenrt,"enter,entre,terne"
eenrw,"newer,renew"
eenrv,"nerve,never"
aeppu,pupae
enrsy,syren
aeppr,paper
aagmm,"gamma,magma"
enrsu,"nurse,runes"
enrst,"nerts,rents,stern,terns"
bgnsu,bungs
aemov,amove
ehikr,hiker
ehiks,"hikes,sheik"
adhrs,"hards,shard"
ennos,"neons,nones"
diotv,divot
hipty,pithy
diott,ditto
dnosw,downs
adhry,"hardy,hydra"
dnosu,"nodus,sound"
ciino,ionic
aekow,awoke
mmmuy,mummy
aprss,"rasps,spars"
afikl,kalif
alnpt,plant
aakmr,karma
elmnu,lumen
aeffg,gaffe
bostu,bouts
filty,fitly
ddios,didos
aallm,llama
adiks,kadis
knnow,known
derty,tyred
epppy,peppy
cikpr,prick
denss,sends
aailm,lamia
bcesu,cubes
afikr,"fakir,kafir"
eklln,knell
deoow,wooed
eopst,"estop,poets,topes"
dloor,"dolor,drool"
deoor,rodeo
kmsuy,musky
alnot,"notal,talon,tonal"
bflsu,flubs
eikno,eikon
deooz,oozed
bdetu,"debut,tubed"
goosy,goosy
demoo,mooed
demop,moped
fsttu,tufts
jknsu,junks
demos,"demos,domes,modes"
egilr,liger
demov,moved
demow,mowed
iikss,skiis
ainop,piano
ainov,avion
ainow,iowan
cdksu,ducks
aalnn,annal
ginss,"signs,sings"
ehnoy,honey
ginsu,"suing,using"
ginsw,"swing,wings"
acdny,candy
eeltx,telex
ginsz,zings
aeesy,sayee
acinv,vinca
ehnop,phone
ehnos,"hones,shone"
ehnor,"heron,honer"
acfnr,franc
ijnot,joint
ijnos,joins
aosst,"oasts,stoas"
ahlps,plash
imotv,vomit
aalnv,naval
acfny,fancy
bckou,bucko
bckor,brock
bckos,bocks
adlly,dally
aatxy,ataxy
bdeem,embed
diooz,zooid
emnow,women
aknrs,"narks,ranks,snark"
bcior,boric
cehmy,chyme
afmor,forma
afmos,foams
bortz,bortz
ahkty,kathy
borty,borty
aberv,brave
koost,kotos
abely,belay
dffuy,duffy
acest,"caste,cates"
bortu,turbo
adgno,gonad
ahhor,horah
ghirt,"girth,right"
hoost,"hoots,shoot,sooth"
llmoy,molly
eeirs,siree
fflsu,luffs
iklos,kilos
mossy,mossy
eepru,"puree,rupee"
ekrry,kerry
eeprs,"peers,peres,spree"
effor,offer
aehnt,"neath,thane"
iimns,minis
anppy,nappy
amnuy,yamun
iknos,"ikons,oinks"
adgns,dangs
eefuz,fuzee
eepry,peery
ffips,spiff
hknsu,hunks
eehtt,teeth
abckl,black
eopps,popes
eglor,ogler
eglos,"loges,ogles"
aditu,audit
antuv,vaunt
adinr,"dinar,drain,nadir"
egloz,gloze
glooy,ology
adinv,"divan,viand"
ehlos,"holes,sheol"
ehlor,holer
egnor,"goner,negro"
psttu,putts
ehlow,whole
ehlov,hovel
aclpu,culpa
aclpt,clapt
adknr,drank
ehloy,"holey,hoyle"
blnoy,nobly
alnos,"loans,salon"
ackst,"stack,tacks"
bkoor,brook
cfhiu,fichu
mpsuy,spumy
apppy,pappy
isttw,"twist,twits"
inpru,unrip
cikrt,trick
abhor,abhor
agint,giant
istxy,sixty
abggy,baggy
elmru,lemur
anvvy,navvy
alnor,loran
ennpu,unpen
cllsu,"culls,scull"
csstu,scuts
msttu,mutts
cikrs,ricks
aginw,awing
bclmo,clomb
aefrw,wafer
ehirt,their
besst,bests
abegr,barge
deopx,poxed
abegt,begat
gnnuy,gunny
gpsyy,gypsy
billy,billy
deosv,doves
deosw,"dowse,sowed"
deost,"doest,dotes"
deosu,douse
deosz,dozes
dlost,dolts
dlosw,wolds
bblsu,bulbs
giopr,pirog
ehpsy,hypes
iknpr,prink
beikr,biker
beiks,bikes
iknpy,pinky
admtu,datum
aelvv,valve
bjmou,jumbo
hiknt,think
fimtu,mufti
frssu,surfs
hiost,hoist
hikns,knish
gnost,tongs
eprtw,twerp
abeux,beaux
gnosw,gowns
bbewy,webby
gimry,grimy
dlops,plods
dijns,djins
ablos,bolas
ablor,"labor,lobar"
acegs,cages
acegr,"cager,grace"
gilnt,glint
elmno,"lemon,melon"
mnosu,muons
lnoor,orlon
ersst,"rests,tress"
acegy,cagey
