aefr,"fare,fear"
aekl,"kale,lake,leak"
abno,bona
dmru,drum
aekt,"take,teak"
abns,"bans,nabs"
abnr,"barn,bran"
aekp,peak
aeks,sake
disu,iuds
adno,dona
agsw,"swag,wags"
cers,recs
agoy,yoga
ottu,tout
inwy,winy
cnno,conn
fttu,tuft
hmty,myth
biss,sibs
berw,brew
aprw,"warp,wrap"
acpr,"carp,crap"
anuy,yuan
gilt,gilt
entv,vent
acox,coax
acor,"arco,orca"
osvw,vows
acot,"coat,taco"
hirw,whir
akst,task
desy,dyes
oosz,zoos
desw,"dews,weds"
dest,teds
desu,"deus,dues,sued,used"
eotv,"veto,vote"
eott,tote
besy,"beys,byes"
eosy,oyes
iovv,vivo
abil,"bail,bali"
bess,bess
best,"best,bets"
aquy,quay
besw,webs
llor,roll
ckru,ruck
llop,poll
bbes,ebbs
llot,toll
cior,coir
dfnu,fund
ciot,otic
ceir,rice
ejtu,jute
efmu,fume
bstu,"bust,buts,stub,tubs"
bcru,curb
aequ,quae
aett,"tate,teat"
ikkn,kink
allo,olla
cfno,conf
aetz,zeta
gior,orig
iquz,quiz
effi,"fief,fife"
eepv,veep
eepw,weep
eepp,peep
eepr,"peer,pere"
eeps,"pees,seep"
amst,"mast,mats,tams"
effs,effs
elpy,yelp
ikps,"kips,skip"
amss,mass
elpu,pule
elpt,pelt
eftw,weft
amsy,"mays,yams"
artz,tzar
eory,"oyer,yore"
eorz,zero
deew,weed
dino,odin
iivx,xvii
ckno,"conk,nock"
eors,"eros,ores,roes,rose,sore"
eort,"rote,tore"
eoru,roue
demr,derm
eorw,wore
demn,mend
demo,"demo,dome,mode"
gioy,yogi
cino,"coin,icon"
akpr,park
ehww,whew
impp,pimp
impr,prim
imps,"imps,simp"
cehw,chew
ceht,"etch,tech"
cehz,chez
afux,faux
fflu,luff
ikln,"kiln,link"
iklo,kilo
ikll,kill
defn,fend
bboo,boob
defs,feds
defr,fred
defu,feud
deft,deft
iklt,kilt
eoyz,oyez
defy,defy
cehk,heck
cpsu,"cups,cusp"
alyz,lazy
cehl,lech
cehm,"chem,mech"
ehnw,"hewn,when"
aivv,viva
eopt,"poet,tope"
ehnt,then
ehns,hens
eikm,mike
dffo,doff
eiko,okie
eikn,kine
crtu,curt
ceis,ices
eikk,kike
bhot,both
acnt,cant
eikt,"kite,tike"
eikv,kiev
eikp,"kepi,pike"
acnr,narc
acns,"cans,scan"
ehno,hone
fllu,full
acny,cyan
detu,duet
cllo,coll
abor,boar
cdee,cede
dfio,fido
dfin,find
elnu,lune
abos,boas
hrsu,rush
lmsu,slum
imot,omit
ffmu,muff
dmsu,muds
adiq,qaid
cjno,conj
dfis,fids
bbos,bobs
cllu,cull
nrtu,"runt,turn"
elno,"leon,lone,noel"
opry,ropy
eooz,ooze
bhoo,hobo
afly,flay
aflx,flax
aflw,flaw
oprs,pros
aflt,flat
opru,pour
oprt,"port,trop"
oprw,prow
aflp,flap
aflo,"foal,loaf"
afln,flan
foot,foot
afll,fall
foor,roof
erty,"trey,tyre"
ertw,wert
aadt,data
adps,pads
ikmn,mink
oouz,ouzo
adpv,avdp
emou,moue
emot,"mote,tome"
emow,meow
emov,move
emop,"mope,poem,pome"
emos,some
emor,"more,rome"
enrw,wren
ekty,tyke
egps,pegs
ansy,nays
einn,nine
insv,vins
kory,york
apwy,yawp
eips,pies
akos,"oaks,soak"
fimr,firm
ersv,"revs,vers"
afkl,flak
aart,rata
akoy,"kayo,okay"
goot,togo
ceov,"cove,voce"
ceot,cote
ceor,core
apsz,zaps
ceop,"cope,opec"
eitx,exit
eity,yeti
klsu,sulk
aems,"meas,mesa,same,seam"
cgos,cogs
ersy,ryes
pstu,"puts,supt,tups"
ikkr,kirk
oort,"root,roto,toro"
osww,wows
mmsu,mums
hhsu,hush
beoo,oboe
gilr,girl
lnxy,lynx
erst,"erst,rest"
deey,eyed
giln,ling
hlru,hurl
gill,gill
gilm,glim
emtu,mute
beor,"boer,bore,robe"
avwy,wavy
emty,etym
cein,"cine,nice"
beoy,obey
ahhs,"hahs,hash,shah"
bdru,drub
ador,road
ados,"ados,soda"
adot,toad
adow,woad
aejn,"jane,jean"
bhos,"bosh,hobs"
aejk,jake
ehrs,hers
ehrr,herr
copr,"corp,crop,proc"
cops,"cops,scop"
copu,coup
aejp,jape
cost,"cost,cots,scot"
bikl,bilk
copy,copy
inpt,pint
belt,belt
abgr,"brag,garb,grab"
anps,"naps,pans,snap,span"
inpy,piny
ehsw,"hews,shew"
douy,youd
lmoo,loom
aeel,alee
inps,"nips,pins,snip,spin"
cnoo,coon
cnor,corn
cnos,cons
firs,firs
aksy,"kays,yaks"
aees,ease
cnot,cont
aitw,wait
aeev,eave
goos,goos
cnou,unco
egiv,give
goop,goop
egis,egis
klnu,lunk
cekn,neck
ajot,"jato,jota"
agks,skag
bpru,burp
agkw,gawk
aess,seas
kmsu,musk
cnoy,cony
adft,daft
cdor,cord
dgsu,dugs
aikn,akin
airz,izar
ipsz,zips
airy,airy
bdoy,body
coyz,cozy
airs,"airs,sari"
abfr,barf
cchi,chic
bdos,bods
firz,friz
hisv,shiv
hisw,wish
hist,"hist,hits,shit,this"
eppr,prep
abfl,flab
bjos,jobs
eeht,thee
bsuy,"busy,buys"
dknu,dunk
eehw,whee
abtu,"abut,tabu,tuba"
hknu,hunk
ejux,jeux
ehik,hike
efns,fens
efnr,fern
ehil,"elhi,heil"
bcsu,cubs
ehir,"heir,hire"
ehis,hies
eklu,luke
ehiv,hive
ekls,"elks,leks"
eklp,kelp
fruy,fury
eehm,heme
hkno,honk
eesy,eyes
acgr,crag
estt,"stet,test"
esxy,sexy
clru,curl
clrt,ctrl
acgy,cagy
drsy,drys
iqtu,quit
eesw,ewes
eesv,"eves,vees"
amrw,warm
amrt,"mart,tram"
amru,arum
aawy,away
amrs,"arms,mars,rams"
gipr,"grip,prig"
gips,"gips,pigs"
amrx,marx
amry,"army,mary"
chor,orch
chos,cosh
chop,chop
abht,"baht,bath"
abhs,bash
chow,chow
fikn,fink
chou,"chou,ouch"
ders,reds
estv,"vest,vets"
agps,"gaps,gasp"
enst,"nest,nets,sent,tens"
enss,ness
artt,tart
abhl,blah
doxy,doxy
choo,coho
ensy,"syne,yens"
cntu,cunt
aefs,safe
bouy,buoy
ilmy,limy
ilmt,milt
ilms,"mils,slim"
efuz,fuze
dimo,modi
fgit,gift
ilmo,"limo,moil"
hins,"hisn,shin,sinh"
hint,"hint,thin"
fgir,frig
fgis,figs
aely,yale
aosy,soya
doqu,quod
lotu,lout
anot,"nato,nota"
filo,foil
opps,pops
epry,"prey,pyre"
ikst,"kist,kits,skit"
krsu,rusk
dgos,"dogs,gods"
eprs,"pres,reps,resp"
egls,"gels,legs"
dgoy,dogy
eglt,gelt
eglu,"glue,luge"
diov,"ovid,void"
abrt,brat
abrw,braw
egln,glen
eglo,"geol,loge,ogle"
abrs,"bars,bras"
dllu,dull
dgoo,good
bruy,"bury,ruby"
orsu,"ours,sour"
orst,"orts,rots,sort,tors"
mmmu,mumm
orux,roux
aiil,"alii,ilia"
adfs,fads
ahtt,that
cdos,"cods,docs"
hotu,thou
nnoo,noon
aiix,ixia
hswy,whys
ilst,"list,lits,silt,slit"
egks,kegs
acst,"acts,cast,cats,scat"
fgsu,fugs
gmos,smog
bnnu,bunn
eltu,lute
ahtw,"thaw,what"
hort,"orth,thor,thro"
alop,opal
ehmt,them
ahrt,hart
ahrs,rash
alst,"last,salt,slat"
alsv,slav
alsw,"awls,laws,slaw"
mort,mort
alss,lass
appu,pupa
hmoo,homo
nrsu,"runs,urns"
bflu,flub
alsy,"lays,slay"
apps,paps
knpu,punk
hmow,whom
hmot,moth
hmos,"ohms,shmo"
fhoo,hoof
eltw,welt
hmoy,homy
kopy,poky
aehz,haze
abgn,bang
aehp,heap
aehr,"hare,hear,rhea"
aeht,"hate,heat"
aehv,have
cffu,cuff
aehk,hake
aehl,"hale,heal"
dirt,dirt
kssy,skys
ehty,they
actt,tact
alqu,qual
birs,ribs
moos,moos
ehor,"hero,hoer"
invy,viny
efss,fess
birt,brit
filp,flip
dllo,doll
filt,"flit,lift"
mnuu,unum
loow,wool
film,film
fill,fill
aefz,faze
eesz,zees
hiss,hiss
aftw,waft
aftu,"faut,tufa"
glpu,"gulp,plug"
ipsv,vips
adhj,hadj
nort,torn
norw,worn
adhn,hand
agmu,guam
deip,pied
adhs,"dash,shad"
adhr,hard
ejos,"joes,jose"
agms,"gams,mags"
agmr,gram
agmy,gamy
npuy,puny
ejoy,joey
abds,"bads,dabs"
abdr,"bard,brad,drab"
bdmu,dumb
bdms,dbms
bdmr,bdrm
abdu,"baud,daub"
aipt,pita
acgs,scag
aipr,pair
aips,pisa
alpy,play
ghhi,high
abde,"abed,bade,bead"
deiw,wide
bimr,brim
abdn,band
abdl,bald
aamm,mama
acer,"acre,care,race"
knpt,tnpk
dhin,hind
bmpu,bump
lost,"lost,lots,slot"
ostw,"stow,tows,twos,wots"
acip,pica
cort,torc
acim,mica
acio,ciao
acin,inca
aamy,maya
dtuy,duty
dhis,dish
losw,"lows,owls,slow"
lmpu,"lump,plum"
eehr,here
akty,kyat
dflo,fold
imtt,mitt
eemt,"meet,mete,teem"
ffhu,huff
eems,seem
imtx,mixt
eemr,mere
efkr,kerf
ekoy,yoke
aery,"aery,yare,year"
aerv,"aver,rave"
aerw,"ware,wear"
aert,"erat,rate,tare,tear"
acen,"acne,cane"
aerr,"rare,rear"
aers,"ares,arse,ears,eras,rase,sear,sera"
inss,sins
ekop,poke
amtt,matt
eswy,"wyes,yews"
amtu,maut
eevw,weve
irwy,wiry
aajr,"ajar,raja"
amqu,quam
ikrs,"irks,kris,risk"
aajv,java
bety,byte
elru,"lure,rule"
koor,rook
gisw,"swig,wigs"
efiv,five
gist,gist
jruy,jury
efiw,wife
betu,tube
elry,"lyre,rely"
koot,"koto,took"
empt,temp
afil,fail
ahls,lash
ahlu,"haul,hula"
ahlt,"halt,lath"
empr,perm
arsw,"raws,wars"
cert,cert
ceru,"cure,ecru"
errt,terr
cerw,crew
arst,"arts,rats,star,tars,tsar"
afhl,half
eehl,heel
afht,haft
ttuu,tutu
ahll,hall
ahlo,halo
emst,stem
eelp,peel
emsw,mews
eelr,"leer,reel"
gkoo,gook
behr,herb
csty,cyst
eels,"eels,else,lees,lese"
ekot,toke
ipps,pips
eirw,"weir,wire"
bklu,bulk
ippy,pipy
cstu,"cuts,scut"
ahow,whoa
lopp,plop
aitx,taxi
gstu,"gust,guts,tugs"
ceko,coke
lops,"lops,pols,slop"
eesx,exes
ckmu,muck
eesu,usee
pssu,"puss,sups"
ffot,toff
ckmo,mock
aksu,auks
most,"most,mots,toms"
aadd,dada
moss,moss
cekp,peck
astv,"vast,vats"
aadm,adam
aadn,dana
iltw,wilt
ggnu,gung
ffos,offs
cips,"pics,spic"
jnou,juno
lopy,"ploy,poly"
bgsu,bugs
awxy,waxy
aops,"paso,soap"
epsw,"pews,spew"
ggno,gong
eess,"eses,esse,sees"
emmo,memo
oppr,prop
bmnu,numb
cnsy,sync
absw,swab
dhtu,thud
ertv,vert
eest,tees
adrs,rads
ahsy,"ashy,hays,shay"
ddsu,duds
adrw,"draw,ward"
emmy,emmy
adrt,"dart,drat"
adry,"dray,yard"
ahss,sash
ahst,"hast,hats,shat"
acwy,ywca
ahsw,"haws,wash"
alpp,lapp
alps,"alps,laps,pals,slap"
alpu,paul
alpt,plat
alpw,pawl
hnsu,"huns,shun"
aegw,wage
bntu,bunt
glop,glop
efor,fore
ceku,cuke
aaqu,aqua
ahmr,harm
ahms,"hams,mash,sham"
afin,"fain,naif"
arsu,ursa
emsu,"emus,muse"
iins,nisi
ahmt,math
eirv,"rive,vier"
eefj,jefe
entw,"newt,went"
eirs,"ires,rise,sire"
aklr,lark
arsy,"rays,ryas"
eqsu,ques
dity,tidy
afit,"fait,fiat"
gint,ting
afiw,waif
afir,fair
ginp,ping
ginr,"grin,ring"
gins,"gins,sign,sing"
oopp,poop
oopr,poor
beix,ibex
oops,oops
eluy,yule
beit,bite
ginw,wing
beir,"bier,brie"
ahjj,hajj
aqtu,quat
beil,bile
ipqu,quip
beij,jibe
beik,bike
gknu,"gunk,kung"
agqu,quag
ginz,zing
eefs,fees
ahot,oath
nosy,nosy
ejst,"jest,jets"
fops,fops
aglo,"gaol,goal"
agll,gall
ajnu,juan
nosw,"nows,owns,snow,sown"
adil,"dial,laid"
gkno,kong
adir,"arid,raid"
adis,"aids,dais,dias,said"
adip,paid
dkuu,kudu
adiv,"avid,diva"
agls,"gals,lags,slag"
adit,adit
blru,"blur,burl"
dgru,drug
kstu,tusk
aisx,axis
estu,suet
ahor,"hoar,hora"
bdlv,blvd
abet,"abet,bate,beat,beta"
ccir,circ
ghin,nigh
eipw,wipe
aber,"bare,bear,brae"
aisv,"avis,vias,visa"
abel,"able,bale"
abem,"beam,bema"
aben,"bane,bean"
ghiw,whig
noty,tony
hmsu,"hums,mush"
bijs,jibs
lluu,lulu
notu,unto
inow,wino
bdlo,bold
knsu,sunk
epst,"pest,pets,sept,step"
epsu,supe
abst,"bast,bats,stab,tabs"
egst,gets
abss,bass
bnsu,"buns,nubs,snub"
epsy,espy
dglo,gold
absy,bays
alno,loan
bden,bend
bdel,bled
cfio,"coif,foci"
bdei,bide
ensw,"news,sewn,wens"
cder,recd
prru,purr
cdeu,"cued,duce"
ivxx,xxiv
cdei,"dice,iced"
anno,"anno,anon"
cdek,deck
cdeo,"code,coed,deco"
alnw,lawn
ilps,"lips,lisp,slip"
bdet,debt
hstu,"huts,shut,thus,tush"
bder,bred
alnp,plan
aarr,rara
ackw,wack
aklt,talk
aeux,eaux
eflw,flew
eflu,"flue,fuel"
eflt,"felt,left"
iprs,rips
eknr,kern
ehko,hoke
eknt,kent
eknu,nuke
eknw,knew
cist,tics
ekno,keno
einr,"erin,rein"
eins,sine
einp,pine
eflo,floe
einw,wine
eint,tine
efll,fell
illm,mill
agpy,gapy
bgir,brig
bgis,gibs
ampt,tamp
ampu,puma
ampv,vamp
beuz,zebu
iops,ipso
ksuy,yuks
elss,less
elst,"lest,lets"
elsu,slue
jluy,july
fopr,prof
girt,"girt,grit,trig"
elsy,"leys,lyes"
klwy,wkly
ceho,echo
girs,rigs
chmu,"chum,much"
acsy,cays
ipsy,yips
acsw,"caws,wacs"
eegl,glee
eimn,"mein,mien,mine"
eegn,gene
acss,sacs
eegh,ghee
eegk,geek
deow,owed
agru,guar
ejru,jure
acky,"caky,yack"
eegs,gees
bcim,icbm
efst,efts
adim,"amid,diam,maid"
kmru,murk
gotu,gout
gotv,govt
bosw,"bows,swob"
ilor,roil
ilos,"oils,silo,soil,soli"
ilot,toil
boss,"boss,sobs"
ilov,viol
fgoy,fogy
iloy,oily
fgor,frog
fgos,fogs
hilt,"hilt,lith"
fgoo,goof
doss,"doss,sods"
dost,"dost,dots"
dosu,duos
acce,ceca
hill,hill
eenv,even
ffru,ruff
eent,teen
eenr,erne
eens,seen
eenp,peen
iloo,olio
bbmo,bomb
deku,duke
dekr,drek
deks,desk
djoo,dojo
dhow,dhow
ahtu,utah
kmno,monk
dhot,doth
dhos,"hods,shod"
cklu,luck
aags,saga
aagr,"agar,raga"
dhoo,hood
aagl,"alga,gala"
akrs,arks
akrt,kart
ilmp,limp
cklo,lock
aagg,gaga
ipsw,wisp
djou,judo
ggis,gigs
ilmn,limn
ikno,"ikon,oink"
iknt,knit
iknw,wink
ammo,ammo
akln,lank
ikns,"inks,kins,sink,skin"
mmpu,mump
ikny,inky
anrw,warn
oswy,yows
aalm,"alma,lama,mala"
aaln,"alan,anal"
achy,achy
gnot,tong
achw,chaw
acht,"chat,tach"
aost,"oats,stoa,taos"
achr,"arch,char"
bbis,bibs
achp,chap
isyz,sizy
aprt,"part,prat,rapt,tarp,trap"
dehl,held
dery,dyer
achk,hack
achi,chia
deru,"rude,rued"
dert,retd
aalr,alar
aals,alas
aalv,lava
dfoo,food
hloy,holy
hlow,howl
mppu,pump
beru,rube
hlot,"holt,loth"
bers,"rebs,serb"
aekw,"wake,weak"
hpsy,phys
abeu,beau
eivv,vive
ffgu,guff
hnor,horn
imrt,trim
dfor,ford
boor,boor
boos,boos
bmoo,boom
boot,boot
booz,bozo
dipr,drip
booy,boyo
abkr,bark
abks,bask
aknr,"nark,rank"
dipt,dipt
abkn,bank
abkl,balk
fknu,funk
acvy,cavy
glno,long
dlop,plod
aefk,fake
abes,base
kosw,woks
aefl,"flea,leaf"
aefm,fame
fins,fins
chko,hock
intu,unit
intt,tint
ehov,hove
eksw,skew
akns,sank
bceu,cube
inty,tiny
attw,"twat,watt"
bcek,beck
binr,brin
chku,huck
fino,info
finn,finn
aopt,atop
nops,pons
nopr,"porn,pron"
fnot,font
dnou,undo
nopu,upon
nopy,pony
agot,"goat,toga"
agos,sago
cdsu,"cuds,scud"
notw,"town,wont"
jstu,"just,juts"
boxy,boxy
eprt,pert
abbu,babu
enor,reno
abbr,"abbr,barb"
ghnu,hung
abby,baby
cltu,cult
hmpu,hump
abbe,"abbe,babe"
bist,bits
bior,brio
bios,"bios,obis"
biot,obit
insw,wins
inst,"inst,nits,snit,tins"
abbl,blab
cdtu,duct
insy,yins
eilm,"lime,mile"
eiln,"lien,line,nile"
accl,calc
aesy,"ayes,easy,yeas"
aesx,axes
aapr,para
aaps,asap
aest,"east,eats,sate,seat,teas"
aesw,awes
aesv,"aves,save,vase"
ehms,"hems,mesh"
ehmp,hemp
ehmo,home
eilt,"lite,tile"
eilu,lieu
eilv,"evil,levi,live,veil,vile"
acct,acct
eilp,pile
eilr,"lier,lire,riel,rile"
eils,"isle,leis,lies"
bmos,mobs
elmy,elmy
oqsu,quos
aerz,raze
elms,elms
dewy,dewy
ikss,"kiss,skis"
elmw,mewl
elmt,melt
elmu,mule
iort,"riot,tiro,trio"
gitw,twig
aakk,kaka
elmo,mole
iorz,zori
knoo,nook
hpsu,push
nptu,punt
doty,doty
anyz,zany
aswy,"sway,ways,yaws"
ciks,sick
ejpu,jupe
eeep,epee
ostt,"tost,tots"
efls,self
eimm,mime
eeei,ieee
cjko,jock
llpu,pull
aclr,carl
bgno,bong
ehll,hell
acdr,card
acds,"cads,scad"
oruy,your
hrtu,"hurt,ruth,thru"
lopu,loup
lopt,plot
acdh,chad
acdi,acid
acdo,coda
acdl,clad
eely,eely
anwy,yawn
bgnu,bung
acde,"aced,dace"
cetu,cute
aevw,wave
deux,deux
flru,furl
cssu,cuss
afnu,faun
afnw,fawn
psst,psst
cghu,chug
afns,fans
epty,type
emss,mess
elos,"leos,lose,oles,sloe,sole"
eers,"seer,sere"
afgn,fang
afgl,flag
emrt,term
iprx,prix
mstu,"must,smut"
mopy,mopy
ghis,sigh
gkmt,mktg
jknu,junk
eloo,oleo
mouv,ovum
afgr,frag
afgs,fags
bdeo,bode
cemo,come
arwy,"awry,wary"
ehtw,"thew,whet"
akms,mask
akmr,mark
moot,moot
cksu,suck
cemy,cyme
dort,trod
akmo,amok
ciru,uric
cems,msec
lllo,loll
iimn,mini
ahno,noah
rtuy,yurt
bemr,berm
agny,yang
gijs,jigs
desz,zeds
aeru,urea
equy,quey
ahnt,than
aclo,"coal,cola"
eipp,pipe
aghn,hang
gsuv,vugs
egnt,gent
illn,nill
eptw,wept
dims,"dims,mids"
orvw,vrow
egnr,engr
egns,gens
egno,gone
dimn,mind
hjno,john
noov,novo
aghs,"gash,hags,shag"
noot,onto
gnsu,"gnus,guns,snug,sung"
ajrs,jars
adev,"dave,deva,vade,veda"
adew,"awed,wade"
adet,date
ccel,eccl
ader,"dare,dear,read"
adep,aped
prsy,spry
adez,daze
adex,axed
noos,soon
adef,"deaf,fade"
adeg,"aged,egad"
aght,ghat
hksu,husk
aden,"dane,dean"
aiot,iota
adel,"dale,deal,lade,lead"
adem,"dame,edam,made,mead"
adej,"deja,jade"
adeh,head
adei,"aide,idea"
kloy,yolk
cktu,tuck
dfno,fond
intw,twin
istu,"situ,suit"
bllu,bull
krtu,turk
bllo,boll
aluv,ulva
prsu,spur
aluu,luau
alnu,"luna,ulna"
dgin,ding
irtz,ritz
dgil,gild
alnt,natl
ddee,deed
mnoo,"mono,moon"
ettx,text
ddei,died
fuzz,fuzz
irtw,writ
apry,pray
lnor,lorn
amsw,"maws,swam"
lnoo,"loon,nolo"
mnoy,mony
ddeu,dude
ddey,"dyed,eddy"
mnos,"mons,noms"
dgir,"gird,grid"
dgis,digs
mnou,muon
orxy,oryx
kkoo,kook
aenn,anne
aeno,aeon
cdlo,"clod,cold"
ijnx,jinx
adkn,dank
agns,"nags,sang,snag"
agnt,"gnat,tang"
agnw,"gnaw,wang"
ejnu,june
eflp,pelf
adkr,dark
aenr,"earn,near"
lmoy,moly
aenp,"nape,neap,pane,pean"
aenv,"nave,vane"
aenw,"anew,wane,wean"
aent,"ante,etna,neat"
bilm,limb
bill,bill
bilo,"biol,boil"
abcu,cuba
abcr,crab
abcs,"cabs,scab"
aiqu,"quai,quia"
hipw,whip
ghot,goth
aaru,aura
hips,"hips,pish,ship"
ghos,"gosh,hogs"
ccoo,coco
abco,boca
gjos,jogs
cmor,corm
abch,bach
cmop,comp
eist,"site,ties"
aekr,rake
ekns,kens
bdes,"beds,debs"
noss,sons
egms,gems
egmr,germ
egmu,geum
dlmo,mold
dint,dint
dinw,wind
mors,roms
afru,frau
afrt,"fart,frat,raft"
dins,dins
ajsy,jays
afry,fray
ajsw,jaws
opsy,posy
eims,"mise,semi"
aiow,iowa
hipt,pith
npsu,"puns,spun"
essu,"sues,uses"
cdku,duck
ortu,"rout,tour"
ortt,"tort,trot"
ortw,"trow,wort"
morw,worm
abry,bray
lrsu,slur
ainz,nazi
lppu,pulp
ainv,vain
cfku,fuck
aint,anti
fgru,frug
ains,"anis,ansi"
ainp,pain
agsz,zags
agsy,"gays,sagy"
lotv,volt
agss,sags
eerv,"ever,veer"
enpt,pent
enps,pens
agst,"gats,stag,tags"
hkrw,kwhr
eert,tree
ainw,wain
efrt,"fret,reft,tref"
inru,ruin
bcos,cobs
efrs,"refs,serf"
bort,bort
borw,brow
ilnt,"intl,lint"
ilns,"lins,nils"
bors,"bros,orbs,robs"
gilu,ugli
einv,"nevi,vein,vine"
hikt,kith
hiks,sikh
ilny,"inly,liny"
ijnn,jinn
hitw,"whit,with"
ijns,jins
bgoy,"bogy,goby"
dors,"dors,rods"
dily,"idly,idyl"
bgos,"bogs,gobs"
acev,cave
dory,dory
ehwy,whey
fmor,"form,from"
gloy,logy
dstu,"dust,stud"
glos,"logs,slog"
coos,coos
ablw,bawl
coot,coot
iprt,trip
ablt,blat
fkor,fork
diqu,quid
ablo,bola
gloo,logo
ablm,"balm,lamb"
abll,ball
ffpu,puff
nost,"nots,snot,tons"
gory,"gory,gyro,orgy"
chlo,loch
inuv,univ
inux,unix
inuz,zuni
gorw,grow
gort,grot
nssu,suns
dilw,wild
nosu,"nous,onus"
ampr,"pram,ramp"
iklm,milk
celn,encl
celo,"cole,ecol"
cell,cell
akly,laky
aaes,asea
aaer,area
fotu,tofu
aehy,yeah
beer,beer
bees,bees
beep,beep
atty,atty
aklw,walk
beet,"beet,bete"
bbou,bubo
disy,yids
been,"been,bene"
aklo,kola
loos,"loos,oslo,solo"
aluw,waul
celw,clew
celt,"celt,lect"
celu,clue
beef,beef
cinz,zinc
inov,vino
kpwy,pkwy
lnuy,luny
ggor,grog
bgru,"burg,grub"
gluy,ugly
cikw,wick
bfos,fobs
aknt,tank
anpw,pawn
anpt,pant
bgil,glib
ggoo,gogo
amsx,xmas
kopr,pork
emqu,quem
aabb,baba
clow,cowl
clot,"clot,colt"
bmsu,bums
clop,clop
elsw,slew
aabl,"alba,baal"
cloy,cloy
aabr,arab
aabs,baas
depu,dupe
dept,dept
deps,"peds,sped"
iikw,kiwi
cloo,"cool,loco"
eipy,yipe
acjk,jack
amyz,mazy
iirs,iris
deik,dike
deil,"deli,idle,lied"
deim,"diem,dime,idem"
dein,dine
deio,ideo
ffij,jiff
ffim,miff
buzz,buzz
eovw,wove
loot,"loot,tool"
moor,"moor,room"
gsuy,guys
ffir,riff
loop,"loop,polo,pool"
ffit,tiff
cees,cees
ceer,cree
ffiy,iffy
mooz,zoom
deir,"dire,ired,ride"
deis,"dies,ides,side"
deit,"diet,edit,tide,tied"
ceex,exec
deiv,"dive,vide,vied"
aehm,ahem
jmpu,jump
esuy,suey
bloo,"bolo,lobo,obol"
blot,"blot,bolt"
blow,"blow,bowl"
adtv,advt
